Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2002,1,el Raval,1888,1
2002,1,el Raval,149,2
2002,1,el Raval,73,3
2002,1,el Raval,133,4
2002,1,el Raval,39,5
2002,1,el Raval,72,6
2002,1,el Raval,50,7
2002,1,el Raval,58,8
2002,1,el Raval,91,9
2002,1,el Raval,212,10
2002,1,el Raval,387,11
2002,1,el Raval,..,12
2002,1,el Raval,64,13
2002,1,el Raval,22,14
2002,1,el Raval,35,15
2002,1,el Raval,17,16
2002,1,el Raval,24,17
2002,1,el Raval,58,18
2002,1,el Raval,36,19
2002,1,el Raval,5,20
2002,1,el Raval,9,21
2002,1,el Raval,6,22
2002,1,el Raval,14,23
2002,1,el Raval,..,24
2002,1,el Raval,8,25
2002,1,el Raval,13,26
2002,1,el Raval,9,27
2002,1,el Raval,18,28
2002,1,el Raval,12,29
2002,1,el Raval,..,30
2002,1,el Raval,53,31
2002,1,el Raval,32,32
2002,1,el Raval,15,33
2002,1,el Raval,..,34
2002,1,el Raval,36,35
2002,1,el Raval,..,36
2002,1,el Raval,34,37
2002,1,el Raval,16,38
2002,1,el Raval,..,39
2002,1,el Raval,..,40
2002,1,el Raval,5,41
2002,1,el Raval,22,43
2002,1,el Raval,18,44
2002,1,el Raval,26,45
2002,1,el Raval,21,46
2002,1,el Raval,..,47
2002,1,el Raval,13,48
2002,1,el Raval,..,49
2002,1,el Raval,9,50
2002,1,el Raval,6,51
2002,1,el Raval,16,52
2002,1,el Raval,..,53
2002,1,el Raval,32,55
2002,1,el Raval,8,56
2002,1,el Raval,20,57
2002,1,el Raval,..,58
2002,1,el Raval,7,59
2002,1,el Raval,33,60
2002,1,el Raval,22,61
2002,1,el Raval,11,62
2002,1,el Raval,9,63
2002,1,el Raval,59,64
2002,1,el Raval,31,65
2002,1,el Raval,16,66
2002,1,el Raval,8,67
2002,1,el Raval,58,68
2002,1,el Raval,6,69
2002,1,el Raval,65,70
2002,1,el Raval,16,71
2002,1,el Raval,24,72
2002,1,el Raval,9,73
2002,2,el Barri Gòtic,541,1
2002,2,el Barri Gòtic,296,2
2002,2,el Barri Gòtic,73,3
2002,2,el Barri Gòtic,147,4
2002,2,el Barri Gòtic,34,5
2002,2,el Barri Gòtic,59,6
2002,2,el Barri Gòtic,63,7
2002,2,el Barri Gòtic,56,8
2002,2,el Barri Gòtic,92,9
2002,2,el Barri Gòtic,56,10
2002,2,el Barri Gòtic,167,11
2002,2,el Barri Gòtic,..,12
2002,2,el Barri Gòtic,31,13
2002,2,el Barri Gòtic,15,14
2002,2,el Barri Gòtic,44,15
2002,2,el Barri Gòtic,19,16
2002,2,el Barri Gòtic,36,17
2002,2,el Barri Gòtic,69,18
2002,2,el Barri Gòtic,25,19
2002,2,el Barri Gòtic,13,20
2002,2,el Barri Gòtic,6,21
2002,2,el Barri Gòtic,8,22
2002,2,el Barri Gòtic,18,23
2002,2,el Barri Gòtic,..,24
2002,2,el Barri Gòtic,17,25
