Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2001,1,el Raval,1626,1
2001,1,el Raval,107,2
2001,1,el Raval,56,3
2001,1,el Raval,95,4
2001,1,el Raval,31,5
2001,1,el Raval,56,6
2001,1,el Raval,68,7
2001,1,el Raval,85,8
2001,1,el Raval,67,9
2001,1,el Raval,197,10
2001,1,el Raval,330,11
2001,1,el Raval,5,12
2001,1,el Raval,21,13
2001,1,el Raval,23,14
2001,1,el Raval,28,15
2001,1,el Raval,27,16
2001,1,el Raval,23,17
2001,1,el Raval,65,18
2001,1,el Raval,20,19
2001,1,el Raval,9,20
2001,1,el Raval,..,21
2001,1,el Raval,9,22
2001,1,el Raval,15,23
2001,1,el Raval,..,24
2001,1,el Raval,5,25
2001,1,el Raval,23,26
2001,1,el Raval,9,27
2001,1,el Raval,15,28
2001,1,el Raval,12,29
2001,1,el Raval,5,30
2001,1,el Raval,55,31
2001,1,el Raval,25,32
2001,1,el Raval,13,33
2001,1,el Raval,5,34
2001,1,el Raval,31,35
2001,1,el Raval,..,36
2001,1,el Raval,19,37
2001,1,el Raval,10,38
2001,1,el Raval,..,39
2001,1,el Raval,5,40
2001,1,el Raval,..,41
2001,1,el Raval,12,43
2001,1,el Raval,14,44
2001,1,el Raval,13,45
2001,1,el Raval,14,46
2001,1,el Raval,12,48
2001,1,el Raval,..,49
2001,1,el Raval,9,50
2001,1,el Raval,..,51
2001,1,el Raval,17,52
2001,1,el Raval,13,53
2001,1,el Raval,10,55
2001,1,el Raval,20,57
2001,1,el Raval,..,59
2001,1,el Raval,35,60
2001,1,el Raval,16,61
2001,1,el Raval,15,62
2001,1,el Raval,8,63
2001,1,el Raval,60,64
2001,1,el Raval,30,65
2001,1,el Raval,18,66
2001,1,el Raval,..,67
2001,1,el Raval,33,68
2001,1,el Raval,10,69
2001,1,el Raval,43,70
2001,1,el Raval,9,71
2001,1,el Raval,23,72
2001,1,el Raval,13,73
2001,2,el Barri Gòtic,372,1
2001,2,el Barri Gòtic,268,2
2001,2,el Barri Gòtic,47,3
2001,2,el Barri Gòtic,112,4
2001,2,el Barri Gòtic,24,5
2001,2,el Barri Gòtic,58,6
2001,2,el Barri Gòtic,68,7
2001,2,el Barri Gòtic,52,8
2001,2,el Barri Gòtic,40,9
2001,2,el Barri Gòtic,59,10
2001,2,el Barri Gòtic,114,11
2001,2,el Barri Gòtic,..,12
2001,2,el Barri Gòtic,23,13
2001,2,el Barri Gòtic,15,14
2001,2,el Barri Gòtic,19,15
2001,2,el Barri Gòtic,11,16
2001,2,el Barri Gòtic,12,17
2001,2,el Barri Gòtic,48,18
2001,2,el Barri Gòtic,9,19
2001,2,el Barri Gòtic,..,20
2001,2,el Barri Gòtic,..,21
2001,2,el Barri Gòtic,..,22
2001,2,el Barri Gòtic,7,23
2001,2,el Barri Gòtic,17,25
2001,2,el Barri Gòtic,26,26
2001,2,el Barri Gòtic,17,27
2001,2,el Barri Gòtic,8,28
2001,2,el Barri Gòtic,..,29
2001,2,el Barri Gòtic,..,30
2001,2,el Barri Gòtic,67,31
2001,2,el Barri Gòtic,29,32
2001,2,el Barri Gòtic,21,33
2001,2,el Barri Gòtic,..,34
2001,2,el Barri Gòtic,27,35
2001,2,el Barri Gòtic,..,36
2001,2,el Barri Gòtic,31,37
2001,2,el Barri Gòtic,11,38
2001,2,el Barri Gòtic,8,39
2001,2,el Barri Gòtic,..,41
2001,2,el Barri Gòtic,13,43
