Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
1997,1,el Raval,1046,1
1997,1,el Raval,149,2
1997,1,el Raval,21,3
1997,1,el Raval,53,4
1997,1,el Raval,12,5
1997,1,el Raval,24,6
1997,1,el Raval,21,7
1997,1,el Raval,27,8
1997,1,el Raval,42,9
1997,1,el Raval,136,10
1997,1,el Raval,282,11
1997,1,el Raval,5,12
1997,1,el Raval,20,13
1997,1,el Raval,..,14
1997,1,el Raval,14,15
1997,1,el Raval,9,16
1997,1,el Raval,7,17
1997,1,el Raval,26,18
1997,1,el Raval,15,19
1997,1,el Raval,..,20
1997,1,el Raval,..,22
1997,1,el Raval,9,23
1997,1,el Raval,..,24
1997,1,el Raval,5,25
1997,1,el Raval,7,26
1997,1,el Raval,14,27
1997,1,el Raval,..,28
1997,1,el Raval,..,29
1997,1,el Raval,..,30
1997,1,el Raval,20,31
1997,1,el Raval,18,32
1997,1,el Raval,11,33
1997,1,el Raval,..,34
1997,1,el Raval,15,35
1997,1,el Raval,..,36
1997,1,el Raval,..,37
1997,1,el Raval,..,38
1997,1,el Raval,..,39
1997,1,el Raval,..,40
1997,1,el Raval,..,41
1997,1,el Raval,6,43
1997,1,el Raval,8,44
1997,1,el Raval,8,45
1997,1,el Raval,..,46
1997,1,el Raval,..,48
1997,1,el Raval,..,49
1997,1,el Raval,6,50
1997,1,el Raval,..,51
1997,1,el Raval,..,53
1997,1,el Raval,..,54
1997,1,el Raval,5,55
1997,1,el Raval,..,57
1997,1,el Raval,25,60
1997,1,el Raval,7,61
1997,1,el Raval,10,62
1997,1,el Raval,8,63
1997,1,el Raval,20,64
1997,1,el Raval,14,65
1997,1,el Raval,5,66
1997,1,el Raval,..,67
1997,1,el Raval,10,68
1997,1,el Raval,5,69
1997,1,el Raval,12,70
1997,1,el Raval,8,71
1997,1,el Raval,12,72
1997,1,el Raval,7,73
1997,2,el Barri Gòtic,137,1
1997,2,el Barri Gòtic,195,2
1997,2,el Barri Gòtic,9,3
1997,2,el Barri Gòtic,67,4
1997,2,el Barri Gòtic,10,5
1997,2,el Barri Gòtic,14,6
1997,2,el Barri Gòtic,24,7
1997,2,el Barri Gòtic,6,8
1997,2,el Barri Gòtic,13,9
1997,2,el Barri Gòtic,24,10
1997,2,el Barri Gòtic,40,11
1997,2,el Barri Gòtic,5,13
1997,2,el Barri Gòtic,5,14
1997,2,el Barri Gòtic,5,15
1997,2,el Barri Gòtic,..,16
1997,2,el Barri Gòtic,5,17
1997,2,el Barri Gòtic,7,18
1997,2,el Barri Gòtic,..,19
1997,2,el Barri Gòtic,..,20
1997,2,el Barri Gòtic,6,22
1997,2,el Barri Gòtic,..,23
1997,2,el Barri Gòtic,..,24
1997,2,el Barri Gòtic,..,25
1997,2,el Barri Gòtic,..,26
1997,2,el Barri Gòtic,..,27
1997,2,el Barri Gòtic,..,28
1997,2,el Barri Gòtic,14,31
1997,2,el Barri Gòtic,6,32
1997,2,el Barri Gòtic,..,33
1997,2,el Barri Gòtic,..,34
1997,2,el Barri Gòtic,..,35
1997,2,el Barri Gòtic,5,37
1997,2,el Barri Gòtic,..,38
1997,2,el Barri Gòtic,..,39
1997,2,el Barri Gòtic,..,43
1997,2,el Barri Gòtic,..,44
1997,2,el Barri Gòtic,..,45
1997,2,el Barri Gòtic,..,46
1997,2,el Barri Gòtic,..,52
1997,2,el Barri Gòtic,..,56
1997,2,el Barri Gòtic,..,57
1997,2,el Barri Gòtic,..,60
1997,2,el Barri Gòtic,..,61
1997,2,el Barri Gòtic,..,63
1997,2,el Barri Gòtic,8,64
1997,2,el Barri Gòtic,..,65
1997,2,el Barri Gòtic,9,66
