Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2000,1,el Raval,1204,1
2000,1,el Raval,93,2
2000,1,el Raval,42,3
2000,1,el Raval,74,4
2000,1,el Raval,23,5
2000,1,el Raval,43,6
2000,1,el Raval,33,7
2000,1,el Raval,29,8
2000,1,el Raval,62,9
2000,1,el Raval,151,10
2000,1,el Raval,219,11
2000,1,el Raval,..,12
2000,1,el Raval,30,13
2000,1,el Raval,5,14
2000,1,el Raval,21,15
2000,1,el Raval,17,16
2000,1,el Raval,21,17
2000,1,el Raval,29,18
2000,1,el Raval,20,19
2000,1,el Raval,13,20
2000,1,el Raval,..,21
2000,1,el Raval,..,22
2000,1,el Raval,5,23
2000,1,el Raval,8,24
2000,1,el Raval,..,25
2000,1,el Raval,10,26
2000,1,el Raval,9,27
2000,1,el Raval,..,28
2000,1,el Raval,..,29
2000,1,el Raval,5,30
2000,1,el Raval,38,31
2000,1,el Raval,10,32
2000,1,el Raval,13,33
2000,1,el Raval,..,34
2000,1,el Raval,16,35
2000,1,el Raval,..,36
2000,1,el Raval,13,37
2000,1,el Raval,17,38
2000,1,el Raval,..,39
2000,1,el Raval,5,40
2000,1,el Raval,..,41
2000,1,el Raval,..,42
2000,1,el Raval,18,43
2000,1,el Raval,..,44
2000,1,el Raval,16,45
2000,1,el Raval,17,46
2000,1,el Raval,..,48
2000,1,el Raval,..,49
2000,1,el Raval,7,50
2000,1,el Raval,7,51
2000,1,el Raval,12,52
2000,1,el Raval,..,53
2000,1,el Raval,..,54
2000,1,el Raval,10,55
2000,1,el Raval,..,56
2000,1,el Raval,..,57
2000,1,el Raval,8,58
2000,1,el Raval,6,59
2000,1,el Raval,20,60
2000,1,el Raval,28,61
2000,1,el Raval,10,62
2000,1,el Raval,14,63
2000,1,el Raval,31,64
2000,1,el Raval,18,65
2000,1,el Raval,10,66
2000,1,el Raval,..,67
2000,1,el Raval,20,68
2000,1,el Raval,..,69
2000,1,el Raval,11,70
2000,1,el Raval,21,71
2000,1,el Raval,24,72
2000,1,el Raval,12,73
2000,2,el Barri Gòtic,191,1
2000,2,el Barri Gòtic,232,2
2000,2,el Barri Gòtic,26,3
2000,2,el Barri Gòtic,79,4
2000,2,el Barri Gòtic,25,5
2000,2,el Barri Gòtic,27,6
2000,2,el Barri Gòtic,46,7
2000,2,el Barri Gòtic,18,8
2000,2,el Barri Gòtic,14,9
2000,2,el Barri Gòtic,34,10
2000,2,el Barri Gòtic,47,11
2000,2,el Barri Gòtic,20,13
2000,2,el Barri Gòtic,..,14
2000,2,el Barri Gòtic,8,15
2000,2,el Barri Gòtic,..,16
2000,2,el Barri Gòtic,11,17
2000,2,el Barri Gòtic,12,18
2000,2,el Barri Gòtic,7,19
2000,2,el Barri Gòtic,5,20
2000,2,el Barri Gòtic,..,21
2000,2,el Barri Gòtic,..,22
2000,2,el Barri Gòtic,..,23
2000,2,el Barri Gòtic,..,24
2000,2,el Barri Gòtic,5,25
2000,2,el Barri Gòtic,9,26
2000,2,el Barri Gòtic,13,27
2000,2,el Barri Gòtic,7,28
2000,2,el Barri Gòtic,..,29
