Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
1998,1,el Raval,1151,1
1998,1,el Raval,168,2
1998,1,el Raval,44,3
1998,1,el Raval,65,4
1998,1,el Raval,17,5
1998,1,el Raval,36,6
1998,1,el Raval,36,7
1998,1,el Raval,41,8
1998,1,el Raval,60,9
1998,1,el Raval,125,10
1998,1,el Raval,245,11
1998,1,el Raval,..,12
1998,1,el Raval,16,13
1998,1,el Raval,12,14
1998,1,el Raval,14,15
1998,1,el Raval,26,16
1998,1,el Raval,22,17
1998,1,el Raval,35,18
1998,1,el Raval,15,19
1998,1,el Raval,7,20
1998,1,el Raval,..,21
1998,1,el Raval,..,22
1998,1,el Raval,5,23
1998,1,el Raval,..,24
1998,1,el Raval,12,25
1998,1,el Raval,13,26
1998,1,el Raval,9,27
1998,1,el Raval,5,28
1998,1,el Raval,13,30
1998,1,el Raval,22,31
1998,1,el Raval,13,32
1998,1,el Raval,21,33
1998,1,el Raval,7,34
1998,1,el Raval,19,35
1998,1,el Raval,7,37
1998,1,el Raval,14,38
1998,1,el Raval,7,39
1998,1,el Raval,5,40
1998,1,el Raval,..,41
1998,1,el Raval,9,43
1998,1,el Raval,7,44
1998,1,el Raval,9,45
1998,1,el Raval,9,46
1998,1,el Raval,11,48
1998,1,el Raval,7,50
1998,1,el Raval,..,51
1998,1,el Raval,..,52
1998,1,el Raval,5,53
1998,1,el Raval,8,55
1998,1,el Raval,..,56
1998,1,el Raval,..,57
1998,1,el Raval,5,59
1998,1,el Raval,23,60
1998,1,el Raval,7,61
1998,1,el Raval,8,62
1998,1,el Raval,18,63
1998,1,el Raval,40,64
1998,1,el Raval,18,65
1998,1,el Raval,9,66
1998,1,el Raval,5,67
1998,1,el Raval,18,68
1998,1,el Raval,10,70
1998,1,el Raval,11,71
1998,1,el Raval,11,72
1998,1,el Raval,5,73
1998,2,el Barri Gòtic,133,1
1998,2,el Barri Gòtic,238,2
1998,2,el Barri Gòtic,39,3
1998,2,el Barri Gòtic,55,4
1998,2,el Barri Gòtic,16,5
1998,2,el Barri Gòtic,8,6
1998,2,el Barri Gòtic,21,7
1998,2,el Barri Gòtic,15,8
1998,2,el Barri Gòtic,18,9
1998,2,el Barri Gòtic,15,10
1998,2,el Barri Gòtic,53,11
1998,2,el Barri Gòtic,..,13
1998,2,el Barri Gòtic,..,14
1998,2,el Barri Gòtic,5,15
1998,2,el Barri Gòtic,10,16
1998,2,el Barri Gòtic,..,17
1998,2,el Barri Gòtic,5,18
1998,2,el Barri Gòtic,16,19
1998,2,el Barri Gòtic,..,20
1998,2,el Barri Gòtic,6,23
1998,2,el Barri Gòtic,..,24
1998,2,el Barri Gòtic,12,25
1998,2,el Barri Gòtic,9,26
1998,2,el Barri Gòtic,8,27
1998,2,el Barri Gòtic,6,28
1998,2,el Barri Gòtic,25,31
1998,2,el Barri Gòtic,6,32
1998,2,el Barri Gòtic,12,33
1998,2,el Barri Gòtic,9,35
1998,2,el Barri Gòtic,..,36
1998,2,el Barri Gòtic,..,37
1998,2,el Barri Gòtic,..,38
1998,2,el Barri Gòtic,..,39
1998,2,el Barri Gòtic,..,41
1998,2,el Barri Gòtic,6,43
1998,2,el Barri Gòtic,..,44
1998,2,el Barri Gòtic,..,45
1998,2,el Barri Gòtic,..,46
1998,2,el Barri Gòtic,..,48
1998,2,el Barri Gòtic,..,49
1998,2,el Barri Gòtic,5,50
1998,2,el Barri Gòtic,..,52
1998,2,el Barri Gòtic,..,55
1998,2,el Barri Gòtic,8,56
1998,2,el Barri Gòtic,..,58
1998,2,el Barri Gòtic,8,59
1998,2,el Barri Gòtic,..,60
1998,2,el Barri Gòtic,7,61
1998,2,el Barri Gòtic,..,62
1998,2,el Barri Gòtic,5,63
1998,2,el Barri Gòtic,10,64
1998,2,el Barri Gòtic,7,65
1998,2,el Barri Gòtic,8,66
1998,2,el Barri Gòtic,8,67
1998,2,el Barri Gòtic,17,68
1998,2,el Barri Gòtic,..,70
1998,2,el Barri Gòtic,11,71
1998,2,el Barri Gòtic,..,72
1998,2,el Barri Gòtic,5,73
1998,3,la Barceloneta,35,1
1998,3,la Barceloneta,13,2
1998,3,la Barceloneta,441,3
1998,3,la Barceloneta,31,4
1998,3,la Barceloneta,13,5
1998,3,la Barceloneta,6,6
1998,3,la Barceloneta,7,7
1998,3,la Barceloneta,5,8
1998,3,la Barceloneta,9,9
1998,3,la Barceloneta,13,10
1998,3,la Barceloneta,20,11
1998,3,la Barceloneta,14,13
1998,3,la Barceloneta,..,14
1998,3,la Barceloneta,6,15
1998,3,la Barceloneta,15,16
1998,3,la Barceloneta,..,17
1998,3,la Barceloneta,..,18
1998,3,la Barceloneta,..,19
1998,3,la Barceloneta,..,20
1998,3,la Barceloneta,..,23
1998,3,la Barceloneta,..,24
1998,3,la Barceloneta,..,25
1998,3,la Barceloneta,..,26
1998,3,la Barceloneta,..,27
1998,3,la Barceloneta,..,28
1998,3,la Barceloneta,11,31
1998,3,la Barceloneta,5,32
1998,3,la Barceloneta,8,33
1998,3,la Barceloneta,8,35
1998,3,la Barceloneta,..,36
1998,3,la Barceloneta,..,37
1998,3,la Barceloneta,5,39
1998,3,la Barceloneta,..,40
1998,3,la Barceloneta,..,42
1998,3,la Barceloneta,..,43
1998,3,la Barceloneta,5,44
1998,3,la Barceloneta,5,45
1998,3,la Barceloneta,..,46
1998,3,la Barceloneta,..,48
1998,3,la Barceloneta,6,52
1998,3,la Barceloneta,9,53
1998,3,la Barceloneta,5,55
1998,3,la Barceloneta,..,57
1998,3,la Barceloneta,5,60
1998,3,la Barceloneta,..,61
1998,3,la Barceloneta,5,63
1998,3,la Barceloneta,11,64
1998,3,la Barceloneta,..,65
1998,3,la Barceloneta,8,66
1998,3,la Barceloneta,7,67
1998,3,la Barceloneta,11,68
1998,3,la Barceloneta,..,69
1998,3,la Barceloneta,12,70
1998,3,la Barceloneta,13,71
1998,3,la Barceloneta,10,72
1998,3,la Barceloneta,13,73
1998,4,"Sant Pere, Santa Caterina i la Ribera",102,1
1998,4,"Sant Pere, Santa Caterina i la Ribera",73,2
1998,4,"Sant Pere, Santa Caterina i la Ribera",32,3
1998,4,"Sant Pere, Santa Caterina i la Ribera",390,4
1998,4,"Sant Pere, Santa Caterina i la Ribera",58,5
1998,4,"Sant Pere, Santa Caterina i la Ribera",45,6
1998,4,"Sant Pere, Santa Caterina i la Ribera",32,7
1998,4,"Sant Pere, Santa Caterina i la Ribera",17,8
1998,4,"Sant Pere, Santa Caterina i la Ribera",32,9
1998,4,"Sant Pere, Santa Caterina i la Ribera",26,10
1998,4,"Sant Pere, Santa Caterina i la Ribera",68,11
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,12
1998,4,"Sant Pere, Santa Caterina i la Ribera",6,13
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,14
1998,4,"Sant Pere, Santa Caterina i la Ribera",8,15
1998,4,"Sant Pere, Santa Caterina i la Ribera",9,16
1998,4,"Sant Pere, Santa Caterina i la Ribera",5,17
1998,4,"Sant Pere, Santa Caterina i la Ribera",10,18
1998,4,"Sant Pere, Santa Caterina i la Ribera",10,19
1998,4,"Sant Pere, Santa Caterina i la Ribera",7,20
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,21
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,22
1998,4,"Sant Pere, Santa Caterina i la Ribera",6,23
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,24
1998,4,"Sant Pere, Santa Caterina i la Ribera",7,26
1998,4,"Sant Pere, Santa Caterina i la Ribera",7,27
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,28
1998,4,"Sant Pere, Santa Caterina i la Ribera",6,30
1998,4,"Sant Pere, Santa Caterina i la Ribera",29,31
1998,4,"Sant Pere, Santa Caterina i la Ribera",10,32
1998,4,"Sant Pere, Santa Caterina i la Ribera",13,33
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,34
1998,4,"Sant Pere, Santa Caterina i la Ribera",17,35
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,36
1998,4,"Sant Pere, Santa Caterina i la Ribera",13,37
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,38
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,39
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,43
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,44
1998,4,"Sant Pere, Santa Caterina i la Ribera",9,45
1998,4,"Sant Pere, Santa Caterina i la Ribera",9,46
1998,4,"Sant Pere, Santa Caterina i la Ribera",5,48
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,49
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,50
1998,4,"Sant Pere, Santa Caterina i la Ribera",8,52
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,53
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,54
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,55
1998,4,"Sant Pere, Santa Caterina i la Ribera",9,57
1998,4,"Sant Pere, Santa Caterina i la Ribera",..,59
1998,4,"Sant Pere, Santa Caterina i la Ribera",13,60
1998,4,"Sant Pere, Santa Caterina i la Ribera",11,61
1998,4,"Sant Pere, Santa Caterina i la Ribera",6,62
1998,4,"Sant Pere, Santa Caterina i la Ribera",11,63
1998,4,"Sant Pere, Santa Caterina i la Ribera",26,64
1998,4,"Sant Pere, Santa Caterina i la Ribera",13,65
1998,4,"Sant Pere, Santa Caterina i la Ribera",31,66
1998,4,"Sant Pere, Santa Caterina i la Ribera",16,67
1998,4,"Sant Pere, Santa Caterina i la Ribera",33,68
1998,4,"Sant Pere, Santa Caterina i la Ribera",11,70
1998,4,"Sant Pere, Santa Caterina i la Ribera",5,71
1998,4,"Sant Pere, Santa Caterina i la Ribera",6,72
1998,4,"Sant Pere, Santa Caterina i la Ribera",5,73
1998,5,el Fort Pienc,..,1
1998,5,el Fort Pienc,9,2
1998,5,el Fort Pienc,9,3
1998,5,el Fort Pienc,28,4
1998,5,el Fort Pienc,378,5
1998,5,el Fort Pienc,49,6
1998,5,el Fort Pienc,88,7
1998,5,el Fort Pienc,9,8
1998,5,el Fort Pienc,38,9
1998,5,el Fort Pienc,11,10
1998,5,el Fort Pienc,8,11
1998,5,el Fort Pienc,..,13
1998,5,el Fort Pienc,..,14
1998,5,el Fort Pienc,..,15
1998,5,el Fort Pienc,..,16
1998,5,el Fort Pienc,8,17
1998,5,el Fort Pienc,8,18
1998,5,el Fort Pienc,16,19
1998,5,el Fort Pienc,5,20
1998,5,el Fort Pienc,..,21
1998,5,el Fort Pienc,5,23
1998,5,el Fort Pienc,6,24
1998,5,el Fort Pienc,..,25
1998,5,el Fort Pienc,11,26
1998,5,el Fort Pienc,5,27
1998,5,el Fort Pienc,..,28
1998,5,el Fort Pienc,..,29
1998,5,el Fort Pienc,9,30
1998,5,el Fort Pienc,21,31
1998,5,el Fort Pienc,21,32
1998,5,el Fort Pienc,27,33
1998,5,el Fort Pienc,..,34
1998,5,el Fort Pienc,10,35
1998,5,el Fort Pienc,..,36
1998,5,el Fort Pienc,7,37
1998,5,el Fort Pienc,..,40
1998,5,el Fort Pienc,..,41
1998,5,el Fort Pienc,..,43
1998,5,el Fort Pienc,7,44
1998,5,el Fort Pienc,5,45
1998,5,el Fort Pienc,7,46
1998,5,el Fort Pienc,..,48
1998,5,el Fort Pienc,..,50
1998,5,el Fort Pienc,..,51
1998,5,el Fort Pienc,..,52
1998,5,el Fort Pienc,..,55
1998,5,el Fort Pienc,..,59
1998,5,el Fort Pienc,11,60
1998,5,el Fort Pienc,..,61
1998,5,el Fort Pienc,..,62
1998,5,el Fort Pienc,23,63
1998,5,el Fort Pienc,22,64
1998,5,el Fort Pienc,29,65
1998,5,el Fort Pienc,18,66
1998,5,el Fort Pienc,16,67
1998,5,el Fort Pienc,10,68
1998,5,el Fort Pienc,5,70
1998,5,el Fort Pienc,32,71
1998,5,el Fort Pienc,7,72
1998,5,el Fort Pienc,8,73
1998,6,la Sagrada Família,12,1
1998,6,la Sagrada Família,7,2
1998,6,la Sagrada Família,7,3
1998,6,la Sagrada Família,14,4
1998,6,la Sagrada Família,101,5
1998,6,la Sagrada Família,676,6
1998,6,la Sagrada Família,70,7
1998,6,la Sagrada Família,50,8
1998,6,la Sagrada Família,42,9
1998,6,la Sagrada Família,28,10
1998,6,la Sagrada Família,17,11
1998,6,la Sagrada Família,5,13
1998,6,la Sagrada Família,8,14
1998,6,la Sagrada Família,7,15
1998,6,la Sagrada Família,..,16
1998,6,la Sagrada Família,9,17
1998,6,la Sagrada Família,10,18
1998,6,la Sagrada Família,30,19
1998,6,la Sagrada Família,9,20
1998,6,la Sagrada Família,7,23
1998,6,la Sagrada Família,7,24
1998,6,la Sagrada Família,9,25
1998,6,la Sagrada Família,19,26
1998,6,la Sagrada Família,12,27
1998,6,la Sagrada Família,8,28
1998,6,la Sagrada Família,..,29
1998,6,la Sagrada Família,6,30
1998,6,la Sagrada Família,40,31
1998,6,la Sagrada Família,90,32
1998,6,la Sagrada Família,81,33
1998,6,la Sagrada Família,..,34
1998,6,la Sagrada Família,33,35
1998,6,la Sagrada Família,7,36
1998,6,la Sagrada Família,9,37
1998,6,la Sagrada Família,..,40
1998,6,la Sagrada Família,..,42
1998,6,la Sagrada Família,15,43
1998,6,la Sagrada Família,26,44
1998,6,la Sagrada Família,15,45
1998,6,la Sagrada Família,7,46
1998,6,la Sagrada Família,..,47
1998,6,la Sagrada Família,7,48
1998,6,la Sagrada Família,..,49
1998,6,la Sagrada Família,5,50
1998,6,la Sagrada Família,..,51
1998,6,la Sagrada Família,8,52
1998,6,la Sagrada Família,5,53
1998,6,la Sagrada Família,..,55
1998,6,la Sagrada Família,..,57
1998,6,la Sagrada Família,17,60
1998,6,la Sagrada Família,16,61
1998,6,la Sagrada Família,5,62
1998,6,la Sagrada Família,35,63
1998,6,la Sagrada Família,157,64
1998,6,la Sagrada Família,59,65
1998,6,la Sagrada Família,12,66
1998,6,la Sagrada Família,17,67
1998,6,la Sagrada Família,27,68
1998,6,la Sagrada Família,..,70
1998,6,la Sagrada Família,10,71
1998,6,la Sagrada Família,18,72
1998,6,la Sagrada Família,11,73
1998,7,la Dreta de l'Eixample,37,1
1998,7,la Dreta de l'Eixample,29,2
1998,7,la Dreta de l'Eixample,9,3
1998,7,la Dreta de l'Eixample,27,4
1998,7,la Dreta de l'Eixample,111,5
1998,7,la Dreta de l'Eixample,101,6
1998,7,la Dreta de l'Eixample,418,7
1998,7,la Dreta de l'Eixample,67,8
1998,7,la Dreta de l'Eixample,44,9
1998,7,la Dreta de l'Eixample,24,10
1998,7,la Dreta de l'Eixample,30,11
1998,7,la Dreta de l'Eixample,..,13
1998,7,la Dreta de l'Eixample,9,14
1998,7,la Dreta de l'Eixample,10,15
1998,7,la Dreta de l'Eixample,6,16
1998,7,la Dreta de l'Eixample,..,17
1998,7,la Dreta de l'Eixample,12,18
1998,7,la Dreta de l'Eixample,18,19
1998,7,la Dreta de l'Eixample,8,20
1998,7,la Dreta de l'Eixample,10,21
1998,7,la Dreta de l'Eixample,7,22
1998,7,la Dreta de l'Eixample,16,23
1998,7,la Dreta de l'Eixample,19,24
1998,7,la Dreta de l'Eixample,24,25
1998,7,la Dreta de l'Eixample,46,26
1998,7,la Dreta de l'Eixample,51,27
1998,7,la Dreta de l'Eixample,7,28
1998,7,la Dreta de l'Eixample,..,30
1998,7,la Dreta de l'Eixample,88,31
1998,7,la Dreta de l'Eixample,75,32
1998,7,la Dreta de l'Eixample,11,33
1998,7,la Dreta de l'Eixample,..,34
1998,7,la Dreta de l'Eixample,18,35
1998,7,la Dreta de l'Eixample,..,36
1998,7,la Dreta de l'Eixample,..,37
1998,7,la Dreta de l'Eixample,..,38
1998,7,la Dreta de l'Eixample,..,39
1998,7,la Dreta de l'Eixample,..,40
1998,7,la Dreta de l'Eixample,7,43
1998,7,la Dreta de l'Eixample,10,44
1998,7,la Dreta de l'Eixample,..,45
1998,7,la Dreta de l'Eixample,7,46
1998,7,la Dreta de l'Eixample,..,49
1998,7,la Dreta de l'Eixample,..,50
1998,7,la Dreta de l'Eixample,5,51
1998,7,la Dreta de l'Eixample,12,52
1998,7,la Dreta de l'Eixample,..,55
1998,7,la Dreta de l'Eixample,..,59
1998,7,la Dreta de l'Eixample,12,60
1998,7,la Dreta de l'Eixample,10,61
1998,7,la Dreta de l'Eixample,..,62
1998,7,la Dreta de l'Eixample,14,63
1998,7,la Dreta de l'Eixample,22,64
1998,7,la Dreta de l'Eixample,21,65
1998,7,la Dreta de l'Eixample,8,66
1998,7,la Dreta de l'Eixample,..,67
1998,7,la Dreta de l'Eixample,7,68
1998,7,la Dreta de l'Eixample,..,70
1998,7,la Dreta de l'Eixample,5,71
1998,7,la Dreta de l'Eixample,10,72
1998,7,la Dreta de l'Eixample,..,73
1998,8,l'Antiga Esquerra de l'Eixample,29,1
1998,8,l'Antiga Esquerra de l'Eixample,10,2
1998,8,l'Antiga Esquerra de l'Eixample,13,3
1998,8,l'Antiga Esquerra de l'Eixample,12,4
1998,8,l'Antiga Esquerra de l'Eixample,15,5
1998,8,l'Antiga Esquerra de l'Eixample,56,6
1998,8,l'Antiga Esquerra de l'Eixample,95,7
1998,8,l'Antiga Esquerra de l'Eixample,362,8
1998,8,l'Antiga Esquerra de l'Eixample,196,9
1998,8,l'Antiga Esquerra de l'Eixample,71,10
1998,8,l'Antiga Esquerra de l'Eixample,23,11
1998,8,l'Antiga Esquerra de l'Eixample,11,13
1998,8,l'Antiga Esquerra de l'Eixample,..,14
1998,8,l'Antiga Esquerra de l'Eixample,5,15
1998,8,l'Antiga Esquerra de l'Eixample,5,16
1998,8,l'Antiga Esquerra de l'Eixample,17,17
1998,8,l'Antiga Esquerra de l'Eixample,23,18
1998,8,l'Antiga Esquerra de l'Eixample,58,19
1998,8,l'Antiga Esquerra de l'Eixample,9,20
1998,8,l'Antiga Esquerra de l'Eixample,8,22
1998,8,l'Antiga Esquerra de l'Eixample,17,23
1998,8,l'Antiga Esquerra de l'Eixample,14,24
1998,8,l'Antiga Esquerra de l'Eixample,20,25
1998,8,l'Antiga Esquerra de l'Eixample,80,26
1998,8,l'Antiga Esquerra de l'Eixample,32,27
1998,8,l'Antiga Esquerra de l'Eixample,..,28
1998,8,l'Antiga Esquerra de l'Eixample,11,29
1998,8,l'Antiga Esquerra de l'Eixample,15,30
1998,8,l'Antiga Esquerra de l'Eixample,35,31
1998,8,l'Antiga Esquerra de l'Eixample,12,32
1998,8,l'Antiga Esquerra de l'Eixample,10,33
1998,8,l'Antiga Esquerra de l'Eixample,7,34
1998,8,l'Antiga Esquerra de l'Eixample,7,35
1998,8,l'Antiga Esquerra de l'Eixample,..,37
1998,8,l'Antiga Esquerra de l'Eixample,6,38
1998,8,l'Antiga Esquerra de l'Eixample,..,39
1998,8,l'Antiga Esquerra de l'Eixample,..,40
1998,8,l'Antiga Esquerra de l'Eixample,8,43
1998,8,l'Antiga Esquerra de l'Eixample,6,44
1998,8,l'Antiga Esquerra de l'Eixample,11,45
1998,8,l'Antiga Esquerra de l'Eixample,8,46
1998,8,l'Antiga Esquerra de l'Eixample,..,48
1998,8,l'Antiga Esquerra de l'Eixample,..,49
1998,8,l'Antiga Esquerra de l'Eixample,..,50
1998,8,l'Antiga Esquerra de l'Eixample,5,52
1998,8,l'Antiga Esquerra de l'Eixample,..,53
1998,8,l'Antiga Esquerra de l'Eixample,..,55
1998,8,l'Antiga Esquerra de l'Eixample,..,57
1998,8,l'Antiga Esquerra de l'Eixample,..,58
1998,8,l'Antiga Esquerra de l'Eixample,10,60
1998,8,l'Antiga Esquerra de l'Eixample,5,61
1998,8,l'Antiga Esquerra de l'Eixample,..,62
1998,8,l'Antiga Esquerra de l'Eixample,23,63
1998,8,l'Antiga Esquerra de l'Eixample,22,64
1998,8,l'Antiga Esquerra de l'Eixample,28,65
1998,8,l'Antiga Esquerra de l'Eixample,6,66
1998,8,l'Antiga Esquerra de l'Eixample,6,67
1998,8,l'Antiga Esquerra de l'Eixample,8,68
1998,8,l'Antiga Esquerra de l'Eixample,..,69
1998,8,l'Antiga Esquerra de l'Eixample,..,70
1998,8,l'Antiga Esquerra de l'Eixample,5,71
1998,8,l'Antiga Esquerra de l'Eixample,..,72
1998,8,l'Antiga Esquerra de l'Eixample,5,73
1998,9,la Nova Esquerra de l'Eixample,25,1
1998,9,la Nova Esquerra de l'Eixample,8,2
1998,9,la Nova Esquerra de l'Eixample,6,3
1998,9,la Nova Esquerra de l'Eixample,19,4
1998,9,la Nova Esquerra de l'Eixample,17,5
1998,9,la Nova Esquerra de l'Eixample,49,6
1998,9,la Nova Esquerra de l'Eixample,42,7
1998,9,la Nova Esquerra de l'Eixample,138,8
1998,9,la Nova Esquerra de l'Eixample,724,9
1998,9,la Nova Esquerra de l'Eixample,123,10
1998,9,la Nova Esquerra de l'Eixample,59,11
1998,9,la Nova Esquerra de l'Eixample,11,13
1998,9,la Nova Esquerra de l'Eixample,21,14
1998,9,la Nova Esquerra de l'Eixample,27,15
1998,9,la Nova Esquerra de l'Eixample,18,16
1998,9,la Nova Esquerra de l'Eixample,12,17
1998,9,la Nova Esquerra de l'Eixample,69,18
1998,9,la Nova Esquerra de l'Eixample,77,19
1998,9,la Nova Esquerra de l'Eixample,26,20
1998,9,la Nova Esquerra de l'Eixample,14,21
1998,9,la Nova Esquerra de l'Eixample,..,22
1998,9,la Nova Esquerra de l'Eixample,26,23
1998,9,la Nova Esquerra de l'Eixample,15,24
1998,9,la Nova Esquerra de l'Eixample,43,25
1998,9,la Nova Esquerra de l'Eixample,46,26
1998,9,la Nova Esquerra de l'Eixample,34,27
1998,9,la Nova Esquerra de l'Eixample,16,28
1998,9,la Nova Esquerra de l'Eixample,7,29
1998,9,la Nova Esquerra de l'Eixample,7,30
1998,9,la Nova Esquerra de l'Eixample,28,31
1998,9,la Nova Esquerra de l'Eixample,26,32
1998,9,la Nova Esquerra de l'Eixample,18,33
1998,9,la Nova Esquerra de l'Eixample,..,34
1998,9,la Nova Esquerra de l'Eixample,13,35
1998,9,la Nova Esquerra de l'Eixample,..,37
1998,9,la Nova Esquerra de l'Eixample,..,38
1998,9,la Nova Esquerra de l'Eixample,..,39
1998,9,la Nova Esquerra de l'Eixample,..,40
1998,9,la Nova Esquerra de l'Eixample,5,41
1998,9,la Nova Esquerra de l'Eixample,..,42
1998,9,la Nova Esquerra de l'Eixample,13,43
1998,9,la Nova Esquerra de l'Eixample,8,44
